"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","some high school","standard","none","63","59","60"
"male","group C","high school","standard","none","57","65","57"
"male","group D","associate's degree","free/reduced","none","57","60","54"
"female","group D","associate's degree","standard","completed","81","88","91"
"male","group C","some high school","standard","none","58","55","52"
"male","group D","associate's degree","free/reduced","completed","70","70","70"
"female","group D","bachelor's degree","standard","none","52","54","62"
"male","group D","high school","standard","completed","43","48","49"
"female","group C","some high school","standard","none","85","82","90"
"male","group D","high school","standard","none","71","60","56"
"female","group B","associate's degree","free/reduced","none","47","67","70"
"male","group E","associate's degree","standard","none","97","83","80"
"female","group E","some college","standard","none","62","74","66"
"female","group D","some high school","free/reduced","completed","66","77","80"
"male","group C","some college","free/reduced","none","41","49","46"
"male","group D","some college","standard","completed","72","62","61"
"male","group D","master's degree","standard","none","69","68","68"
"female","group E","bachelor's degree","standard","none","65","63","72"
"male","group B","high school","standard","none","61","56","46"
"male","group E","some college","standard","completed","100","100","100"
"male","group B","bachelor's degree","free/reduced","none","76","82","80"
"female","group C","associate's degree","standard","completed","88","95","91"
"male","group D","high school","free/reduced","none","40","45","44"
"male","group E","some high school","standard","none","89","72","74"
"male","group E","high school","standard","none","69","58","49"
"male","group C","some college","standard","completed","100","100","97"
"male","group D","high school","standard","completed","90","85","87"
"female","group D","some college","standard","none","48","63","54"
"female","group E","some college","free/reduced","completed","70","74","78"
"male","group C","some high school","standard","none","65","68","64"
"female","group C","some high school","free/reduced","none","48","64","59"
"female","group C","associate's degree","free/reduced","completed","51","80","76"
"female","group D","some college","free/reduced","none","51","64","63"
"male","group C","some high school","standard","completed","69","59","59"
"female","group C","high school","standard","none","79","85","81"
"female","group E","high school","standard","none","76","80","73"
"female","group E","high school","free/reduced","none","40","49","45"
"female","group E","high school","free/reduced","none","53","54","59"
"male","group C","high school","free/reduced","none","55","66","57"
"male","group B","some college","standard","none","81","80","80"
"female","group E","some college","standard","completed","87","92","93"
"male","group D","high school","free/reduced","completed","82","81","75"
"male","group D","associate's degree","standard","completed","86","89","89"
"female","group D","some college","free/reduced","none","47","60","66"
"female","group C","associate's degree","free/reduced","none","53","56","60"
"male","group C","some college","standard","completed","72","65","69"
"female","group A","bachelor's degree","standard","none","49","60","59"
"female","group E","bachelor's degree","standard","completed","87","86","99"
"female","group C","associate's degree","standard","none","69","84","76"
"female","group B","high school","standard","completed","38","63","63"
"male","group B","associate's degree","standard","none","83","80","79"
"female","group D","associate's degree","standard","none","80","83","90"
"female","group E","master's degree","standard","completed","94","95","98"
"female","group D","some high school","standard","completed","65","79","85"
"female","group D","master's degree","standard","completed","66","76","81"
"male","group C","associate's degree","free/reduced","none","48","49","45"
"female","group B","bachelor's degree","standard","none","74","76","76"
"female","group D","bachelor's degree","standard","none","64","73","69"
"male","group B","bachelor's degree","standard","none","83","81","67"
"male","group C","associate's degree","standard","none","70","61","56"
"male","group C","master's degree","free/reduced","none","74","77","71"
"male","group C","some high school","standard","completed","99","89","83"
"male","group D","high school","free/reduced","none","42","52","49"
"female","group B","associate's degree","standard","none","63","66","67"
"female","group D","associate's degree","free/reduced","none","44","56","62"
"male","group B","master's degree","standard","completed","97","100","97"
"male","group C","associate's degree","standard","completed","70","69","65"
"female","group B","some high school","free/reduced","completed","43","58","55"
"female","group C","some high school","standard","none","48","68","63"
"male","group C","some high school","free/reduced","none","71","61","56"
"male","group C","high school","standard","none","76","71","67"
"female","group B","some college","free/reduced","completed","44","58","57"
"female","group B","associate's degree","standard","none","51","68","55"
"female","group B","high school","standard","none","77","80","78"
"female","group D","some high school","standard","none","82","92","90"
"female","group A","associate's degree","free/reduced","none","50","67","56"
"male","group C","bachelor's degree","standard","completed","67","55","60"
"male","group C","high school","standard","none","50","54","47"
"female","group D","some college","free/reduced","none","52","55","56"
"female","group D","some college","standard","none","68","73","71"
"male","group C","some college","standard","none","89","81","76"
"male","group C","some high school","standard","completed","79","69","59"
"female","group D","bachelor's degree","free/reduced","none","69","82","84"
"male","group C","some college","standard","completed","83","71","71"
"male","group D","some high school","free/reduced","none","37","46","37"
"male","group D","some college","free/reduced","none","76","64","69"
"female","group C","some high school","free/reduced","none","66","68","68"
"male","group B","some high school","standard","none","42","42","33"
"female","group D","associate's degree","standard","none","85","87","88"
"male","group B","some college","standard","none","94","80","78"
"male","group B","some college","standard","completed","80","74","69"
"female","group D","high school","standard","none","74","85","92"
"male","group B","bachelor's degree","standard","none","73","72","73"
"female","group D","high school","free/reduced","none","49","58","64"
"female","group B","associate's degree","free/reduced","none","73","80","75"
"male","group E","some college","standard","completed","78","66","60"
"female","group A","master's degree","standard","none","70","81","75"
"female","group D","bachelor's degree","free/reduced","none","53","69","67"
"female","group A","some college","standard","none","66","72","64"
"male","group C","bachelor's degree","free/reduced","none","39","40","35"
"female","group D","master's degree","free/reduced","none","54","67","68"
"male","group D","some college","free/reduced","completed","71","63","72"
"female","group B","high school","standard","none","46","59","53"
"male","group A","some high school","standard","none","55","49","42"
"female","group C","some college","standard","completed","81","87","94"
"female","group D","associate's degree","free/reduced","completed","72","88","90"
"male","group D","some high school","standard","completed","69","73","71"
"female","group C","bachelor's degree","standard","none","56","61","55"
"female","group E","high school","free/reduced","none","74","82","76"
"male","group D","master's degree","free/reduced","none","76","82","78"
"male","group B","some college","standard","completed","83","82","75"
"male","group C","high school","standard","none","68","74","69"
"male","group E","some high school","standard","none","80","58","56"
"female","group D","bachelor's degree","standard","completed","61","74","80"
"female","group B","some college","standard","completed","89","95","94"
"male","group B","some high school","standard","none","84","83","78"
"female","group D","some college","standard","none","71","68","69"
"male","group B","some college","standard","completed","57","62","60"
"male","group B","some college","standard","completed","69","76","71"
"female","group A","bachelor's degree","free/reduced","none","41","61","61"
"female","group A","associate's degree","standard","completed","71","83","84"
"male","group E","high school","standard","completed","75","73","73"
"female","group D","some high school","standard","none","36","47","54"
"male","group B","associate's degree","free/reduced","none","48","47","42"
"male","group C","associate's degree","free/reduced","none","52","46","42"
"female","group D","some high school","free/reduced","none","55","66","61"
"male","group C","master's degree","free/reduced","none","61","63","55"
"female","group E","high school","standard","completed","63","73","78"
"female","group A","high school","free/reduced","none","74","86","77"
"male","group D","associate's degree","standard","none","66","59","61"
"male","group D","bachelor's degree","free/reduced","none","49","61","54"
"male","group C","some college","standard","completed","61","53","57"
"female","group C","high school","standard","none","39","44","45"
"female","group A","associate's degree","standard","none","61","70","68"
"female","group A","high school","standard","none","80","84","85"
"male","group C","master's degree","standard","none","91","86","81"
"female","group D","some high school","free/reduced","none","48","61","60"
"female","group D","associate's degree","free/reduced","completed","83","90","95"
"male","group B","bachelor's degree","standard","none","51","50","39"
"female","group E","some college","standard","completed","77","83","88"
"male","group D","bachelor's degree","standard","none","65","55","58"
"female","group E","associate's degree","free/reduced","completed","71","78","80"
"female","group B","bachelor's degree","free/reduced","none","47","56","58"
"male","group B","high school","free/reduced","none","61","56","54"
"male","group B","some college","free/reduced","none","65","60","54"
"female","group B","high school","standard","none","64","84","82"
"male","group C","some high school","standard","none","71","70","68"
"male","group D","high school","free/reduced","completed","60","66","60"
"female","group C","associate's degree","standard","none","60","66","64"
"female","group C","high school","free/reduced","none","26","52","47"
"female","group D","bachelor's degree","standard","none","95","100","100"
"male","group C","bachelor's degree","standard","none","43","49","48"
"female","group A","high school","standard","completed","87","100","100"
"female","group C","some college","free/reduced","none","46","45","48"
"female","group D","associate's degree","free/reduced","completed","58","75","74"
"female","group C","associate's degree","standard","completed","59","78","75"
"female","group D","bachelor's degree","standard","completed","50","64","68"
"male","group A","master's degree","free/reduced","none","53","49","55"
"female","group B","high school","free/reduced","completed","58","76","73"
"male","group D","master's degree","standard","none","68","63","62"
"male","group B","high school","standard","none","65","50","44"
"male","group A","some college","standard","completed","75","71","78"
"male","group D","some college","free/reduced","completed","47","59","62"
"male","group E","high school","standard","none","68","56","57"
"male","group D","bachelor's degree","standard","completed","69","62","66"
"male","group D","some college","standard","none","73","73","63"
"male","group D","high school","free/reduced","none","60","52","49"
"male","group D","high school","standard","none","58","54","56"
"male","group C","associate's degree","standard","none","88","80","74"
"female","group E","high school","standard","completed","69","78","79"
"male","group A","associate's degree","standard","none","71","58","58"
"male","group E","bachelor's degree","standard","none","75","69","70"
"male","group C","some college","standard","none","66","68","63"
"male","group C","high school","free/reduced","none","53","51","40"
"male","group C","some high school","free/reduced","none","38","44","41"
"female","group E","high school","standard","none","73","79","79"
"male","group E","some college","free/reduced","completed","87","75","72"
"female","group D","associate's degree","free/reduced","none","38","53","52"
"male","group C","associate's degree","standard","none","90","75","78"
"male","group E","bachelor's degree","standard","none","90","81","77"
"male","group C","high school","standard","none","68","53","47"
"female","group B","associate's degree","standard","completed","71","93","92"
"male","group C","master's degree","free/reduced","none","64","65","60"
"male","group D","master's degree","standard","none","100","87","88"
"male","group A","high school","standard","none","66","65","60"
"female","group B","associate's degree","free/reduced","none","59","85","78"
"male","group A","bachelor's degree","standard","none","63","61","51"
"female","group B","associate's degree","standard","completed","80","91","93"
"male","group B","master's degree","free/reduced","none","54","58","59"
"male","group C","associate's degree","standard","none","88","82","79"
"male","group E","associate's degree","free/reduced","none","51","52","44"
"female","group D","bachelor's degree","standard","none","64","74","74"
"female","group B","associate's degree","free/reduced","none","51","58","55"
"female","group B","associate's degree","standard","completed","46","49","56"
"female","group C","some high school","standard","none","67","60","60"
"male","group C","associate's degree","standard","none","92","77","71"
"male","group D","master's degree","standard","none","90","75","81"
"female","group E","bachelor's degree","standard","none","69","78","74"
"male","group D","associate's degree","standard","none","65","56","59"
"male","group D","some college","free/reduced","completed","86","85","80"
"female","group C","some college","standard","completed","69","81","91"
"male","group D","bachelor's degree","free/reduced","none","75","67","64"
"male","group D","bachelor's degree","standard","none","79","63","68"
"male","group D","high school","standard","completed","74","61","62"
"female","group C","associate's degree","standard","completed","57","64","67"
"male","group C","associate's degree","standard","completed","67","73","75"
"female","group B","bachelor's degree","standard","completed","92","100","100"
"female","group A","some college","standard","completed","69","68","69"
"male","group E","associate's degree","standard","completed","81","81","76"
"female","group B","bachelor's degree","free/reduced","none","62","71","72"
"male","group E","some college","standard","completed","100","90","90"
"female","group D","some high school","free/reduced","none","57","57","55"
"female","group B","some high school","standard","none","60","69","65"
"male","group E","bachelor's degree","standard","none","80","73","67"
"female","group E","associate's degree","standard","none","66","71","67"
"female","group C","some college","standard","none","69","71","67"
"female","group C","bachelor's degree","standard","none","66","85","88"
"female","group B","some high school","standard","none","45","45","42"
"male","group A","master's degree","free/reduced","completed","68","69","73"
"female","group D","associate's degree","standard","none","69","83","79"
"female","group C","high school","standard","completed","66","68","66"
"female","group E","some college","standard","completed","64","62","66"
"male","group B","bachelor's degree","free/reduced","none","61","60","57"
"female","group D","some high school","standard","completed","69","76","80"
"male","group D","bachelor's degree","standard","completed","67","76","75"
"male","group C","high school","standard","completed","76","61","68"
"male","group D","some college","free/reduced","completed","60","58","54"
"female","group C","associate's degree","standard","none","46","58","55"
"female","group E","high school","free/reduced","none","48","47","48"
"female","group B","bachelor's degree","free/reduced","none","64","77","67"
"female","group B","some college","free/reduced","completed","61","80","84"
"male","group C","some high school","standard","none","58","56","50"
"male","group A","some high school","standard","completed","75","78","72"
"female","group D","some college","standard","completed","77","86","91"
"male","group A","associate's degree","standard","completed","94","80","82"
"male","group D","some college","standard","none","62","70","63"
"female","group C","some college","free/reduced","none","74","85","87"
"female","group B","master's degree","standard","none","63","73","66"
"male","group C","high school","standard","completed","63","69","72"
"female","group D","some high school","free/reduced","none","32","42","44"
"female","group D","associate's degree","standard","completed","86","84","92"
"female","group D","associate's degree","standard","none","57","77","69"
"male","group D","associate's degree","standard","completed","73","75","79"
"female","group E","high school","standard","none","94","100","100"
"male","group D","bachelor's degree","standard","none","78","68","74"
"female","group D","high school","standard","completed","52","71","62"
"female","group C","associate's degree","standard","none","75","79","79"
"male","group C","associate's degree","standard","completed","60","62","58"
"male","group C","associate's degree","standard","none","61","58","59"
"male","group C","some college","standard","none","60","50","47"
"male","group C","associate's degree","free/reduced","none","54","64","55"
"female","group B","high school","standard","none","68","76","76"
"female","group D","some college","standard","none","53","63","66"
"male","group C","bachelor's degree","standard","none","40","37","36"
"male","group B","master's degree","free/reduced","none","55","55","53"
"female","group D","some college","standard","none","68","76","74"
"male","group E","master's degree","standard","none","84","82","77"
"female","group D","bachelor's degree","free/reduced","none","73","86","85"
"female","group C","some college","standard","completed","60","65","71"
"female","group C","associate's degree","standard","none","91","97","98"
"female","group B","high school","standard","none","74","81","84"
"female","group C","bachelor's degree","standard","none","81","92","88"
"female","group B","high school","free/reduced","completed","61","67","70"
"male","group B","associate's degree","free/reduced","none","61","65","57"
"male","group E","some college","free/reduced","none","70","63","55"
"male","group C","high school","standard","none","88","81","79"
"male","group C","bachelor's degree","standard","none","75","62","62"
"male","group E","some college","free/reduced","completed","98","84","84"
"female","group D","some college","standard","completed","68","79","86"
"male","group E","high school","standard","none","85","75","71"
"male","group A","associate's degree","free/reduced","none","58","68","63"
"male","group C","some college","free/reduced","completed","64","66","65"
"male","group C","high school","free/reduced","none","71","74","70"
"male","group E","associate's degree","free/reduced","completed","89","90","93"
"male","group C","high school","standard","none","49","50","42"
"male","group C","some high school","free/reduced","completed","64","66","68"
"male","group A","some college","standard","completed","62","57","52"
"female","group B","associate's degree","standard","none","50","48","43"
"female","group A","some high school","standard","none","83","87","87"
"female","group D","master's degree","standard","none","68","69","72"
"male","group C","bachelor's degree","standard","none","42","38","41"
"male","group B","some high school","standard","completed","60","56","51"
"male","group E","associate's degree","standard","none","81","73","75"
"male","group B","associate's degree","standard","completed","91","81","75"
"female","group B","associate's degree","standard","none","83","96","95"
"female","group A","high school","standard","completed","36","50","48"
"male","group C","some college","free/reduced","completed","83","82","81"
"male","group C","associate's degree","free/reduced","none","69","69","60"
"male","group C","some college","free/reduced","none","69","57","63"
"female","group C","high school","free/reduced","none","46","54","52"
"female","group E","some college","standard","none","66","77","70"
"female","group C","high school","standard","none","68","76","71"
"female","group A","associate's degree","standard","none","53","59","59"
"male","group E","associate's degree","free/reduced","none","55","52","46"
"female","group E","some high school","standard","none","89","87","87"
"male","group A","associate's degree","free/reduced","none","61","76","63"
"female","group D","some college","standard","none","69","76","76"
"male","group B","master's degree","free/reduced","none","33","35","33"
"female","group E","high school","free/reduced","none","75","90","83"
"female","group D","some college","free/reduced","none","73","82","83"
"female","group C","bachelor's degree","free/reduced","none","63","75","68"
"female","group E","some college","standard","none","67","63","62"
"female","group A","some college","standard","completed","47","60","62"
"female","group B","master's degree","standard","completed","74","85","94"
"male","group D","high school","standard","none","90","88","87"
"male","group C","some high school","standard","none","61","60","53"
"female","group D","high school","standard","completed","43","51","49"
"male","group E","associate's degree","free/reduced","none","56","55","51"
"male","group C","some college","standard","none","63","68","66"
"female","group B","some college","free/reduced","none","63","81","81"
"male","group C","some college","standard","none","72","70","67"
"male","group E","bachelor's degree","standard","completed","84","65","73"
"male","group D","master's degree","standard","none","82","78","80"
"male","group C","some high school","standard","none","67","49","49"
"female","group C","high school","standard","none","80","79","82"
"female","group D","associate's degree","standard","completed","86","84","91"
"female","group D","bachelor's degree","standard","none","100","99","99"
"female","group E","high school","standard","none","74","71","73"
"male","group B","high school","standard","completed","74","61","63"
"male","group C","high school","standard","none","67","56","61"
"female","group B","master's degree","standard","none","71","85","86"
"female","group C","some college","standard","none","41","51","50"
"male","group C","associate's degree","standard","completed","78","90","84"
"male","group A","associate's degree","standard","none","40","38","37"
"male","group D","some high school","standard","none","73","67","69"
"female","group C","associate's degree","free/reduced","none","44","49","45"
"female","group E","some college","standard","none","51","50","52"
"male","group D","some college","standard","completed","73","81","78"
"male","group C","high school","free/reduced","none","61","55","44"
"male","group D","high school","free/reduced","completed","56","63","60"
"male","group D","associate's degree","free/reduced","completed","84","80","81"
"male","group D","some high school","standard","none","63","59","58"
"male","group B","some high school","free/reduced","completed","69","75","72"
"male","group E","associate's degree","standard","none","83","72","71"
"female","group D","associate's degree","free/reduced","completed","72","84","84"
"female","group C","some college","free/reduced","completed","61","78","79"
"female","group D","high school","free/reduced","none","50","62","62"
"female","group C","some college","standard","none","72","79","72"
"female","group C","some college","standard","completed","68","78","82"
"male","group B","bachelor's degree","standard","none","69","65","61"
"female","group B","some college","standard","none","52","51","57"
"female","group A","some high school","standard","completed","54","75","67"
"female","group C","associate's degree","free/reduced","none","57","68","72"
"female","group C","associate's degree","standard","completed","84","79","89"
"male","group C","associate's degree","standard","completed","72","74","72"
"male","group D","bachelor's degree","standard","none","84","75","73"
"female","group B","some college","standard","none","33","46","42"
"male","group C","some college","standard","none","88","86","83"
"female","group E","master's degree","standard","none","50","60","61"
"female","group B","high school","standard","none","50","50","56"
"female","group B","some college","standard","none","75","77","81"
"female","group D","bachelor's degree","standard","none","78","81","83"
"female","group E","high school","standard","completed","82","94","89"
"male","group B","some college","standard","completed","68","60","58"
"male","group D","associate's degree","standard","none","75","73","77"
"male","group B","some high school","standard","none","59","53","57"
"male","group D","some college","free/reduced","completed","55","66","60"
"male","group D","high school","free/reduced","completed","45","54","54"
"male","group C","some college","standard","none","63","53","52"
"male","group E","some college","standard","completed","69","54","57"
"female","group A","bachelor's degree","standard","completed","82","96","97"
"female","group B","some college","free/reduced","none","55","63","63"
"male","group B","some high school","free/reduced","completed","53","55","55"
"female","group C","bachelor's degree","free/reduced","completed","36","59","60"
"male","group B","master's degree","standard","none","92","89","92"
"female","group B","some college","free/reduced","none","38","45","45"
"male","group E","associate's degree","standard","completed","92","83","85"
"female","group C","some high school","standard","none","71","77","75"
"female","group C","associate's degree","free/reduced","completed","57","67","70"
"female","group D","high school","standard","completed","72","86","90"
"male","group A","associate's degree","standard","completed","96","95","92"
"male","group C","associate's degree","standard","completed","74","73","78"
"female","group D","associate's degree","standard","none","61","61","62"
"male","group C","high school","standard","none","76","58","57"
"male","group C","high school","standard","completed","91","77","79"
"male","group B","some high school","standard","none","46","44","35"
"male","group D","associate's degree","free/reduced","completed","42","50","51"
"male","group C","some high school","standard","none","57","53","55"
"female","group D","bachelor's degree","standard","completed","84","96","100"
"female","group C","bachelor's degree","standard","none","70","81","80"
"female","group B","some high school","standard","none","69","79","73"
"male","group C","some high school","standard","none","68","62","56"
"male","group C","associate's degree","standard","none","55","62","56"
"male","group C","some college","standard","none","73","62","61"
"male","group D","associate's degree","standard","none","83","75","72"
"male","group B","associate's degree","standard","none","51","46","46"
"female","group E","some high school","free/reduced","none","59","58","55"
"female","group B","some high school","standard","completed","67","62","66"
"male","group C","some high school","standard","none","53","50","45"
"female","group D","some high school","free/reduced","none","61","65","63"
"female","group C","high school","free/reduced","none","57","59","65"
"female","group E","high school","standard","none","72","63","67"
"male","group A","master's degree","standard","completed","70","61","65"
"male","group D","some college","standard","none","93","94","88"
"female","group D","bachelor's degree","standard","none","48","53","53"
"female","group E","some college","standard","none","78","76","76"
"female","group C","some college","standard","none","60","69","68"
"male","group C","bachelor's degree","standard","none","58","57","56"
"female","group D","bachelor's degree","standard","none","69","88","90"
"male","group D","bachelor's degree","free/reduced","none","71","75","73"
"female","group A","some high school","free/reduced","none","51","69","64"
"female","group B","some college","free/reduced","completed","60","82","87"
"female","group C","some college","free/reduced","none","33","45","46"
"female","group E","some college","free/reduced","none","61","72","69"
"female","group C","associate's degree","standard","completed","99","100","100"
"female","group C","some college","free/reduced","none","48","60","56"
"female","group C","associate's degree","free/reduced","completed","58","80","76"
"female","group A","some college","free/reduced","completed","70","79","80"
"male","group D","associate's degree","free/reduced","none","61","62","63"
"female","group C","associate's degree","free/reduced","none","74","78","82"
"male","group D","bachelor's degree","standard","none","73","67","63"
"male","group B","some high school","free/reduced","none","54","59","51"
"male","group E","some high school","free/reduced","none","65","65","56"
"male","group E","some high school","standard","none","63","53","53"
"male","group A","some college","standard","completed","81","73","72"
"male","group B","some college","standard","none","58","54","56"
"female","group B","bachelor's degree","free/reduced","none","39","52","48"
"female","group B","bachelor's degree","standard","none","73","83","82"
"male","group D","high school","free/reduced","completed","61","63","56"
"male","group B","some high school","standard","none","72","66","70"
"male","group C","some high school","standard","none","71","68","62"
"male","group D","master's degree","free/reduced","completed","97","90","94"
"male","group E","bachelor's degree","standard","none","100","92","91"
"female","group E","high school","free/reduced","completed","67","77","77"
